csRNA/RNA log2 ratio	TSS CDF	Exon CDF	Difference	HGpvalue
15.0363389118902	8.20445501907536e-05	0	8.20445501907536e-05	NA
14.9619293975608	0.00012306682528613	0	0.00012306682528613	NA
14.4982789202128	0.000164089100381507	0	0.000164089100381507	NA
14.3687969901607	0.000205111375476884	0	0.000205111375476884	NA
14.3299392554755	0.000246133650572261	0	0.000246133650572261	NA
14.2938157566639	0.000328178200763014	0	0.000328178200763014	NA
14.2778315051017	0.000369200475858391	0	0.000369200475858391	NA
14.2177010243092	0.000410222750953768	1.64997442539641e-05	0.000393723006699804	NA
14.1914548524056	0.000451245026049145	1.64997442539641e-05	0.000434745281795181	NA
14.1873636728674	0.000492267301144521	1.64997442539641e-05	0.000475767556890557	NA
14.178415874383	0.000533289576239898	1.64997442539641e-05	0.000516789831985934	NA
14.1293900879942	0.000574311851335275	1.64997442539641e-05	0.000557812107081311	NA
14.1224947778782	0.000615334126430652	1.64997442539641e-05	0.000598834382176688	NA
14.103362400375	0.000656356401526029	1.64997442539641e-05	0.000639856657272065	NA
14.0144633961995	0.000697378676621405	1.64997442539641e-05	0.000680878932367441	NA
13.9674487352346	0.000738400951716782	1.64997442539641e-05	0.000721901207462818	NA
13.9622833080948	0.000779423226812159	1.64997442539641e-05	0.000762923482558195	NA
13.8814523362153	0.000820445501907536	1.64997442539641e-05	0.000803945757653572	NA
13.8705332938904	0.000861467777002913	1.64997442539641e-05	0.000844968032748949	NA
13.8597114241812	0.000902490052098289	1.64997442539641e-05	0.000885990307844325	NA
13.7384121426247	0.000943512327193666	1.64997442539641e-05	0.000927012582939702	NA
13.7350715185694	0.00102555687738442	1.64997442539641e-05	0.00100905713313046	NA
13.7220849356358	0.0010665791524798	1.64997442539641e-05	0.00105007940822583	NA
13.6890523120515	0.00110760142757517	1.64997442539641e-05	0.00109110168332121	NA
13.619746564083	0.00118964597776593	1.64997442539641e-05	0.00117314623351196	NA
13.5795292615155	0.0012306682528613	1.64997442539641e-05	0.00121416850860734	NA
13.5488977490784	0.00127169052795668	1.64997442539641e-05	0.00125519078370272	NA
13.344836817142	0.00147680190343356	0.000131997954031713	0.00134480394940185	NA
13.3319833836781	0.00151782417852894	0.000131997954031713	0.00138582622449723	NA
13.2935808526961	0.00155884645362432	0.000131997954031713	0.00142684849959261	NA
13.2870586906242	0.00159986872871969	0.000131997954031713	0.00146787077468798	NA
13.2604226765954	0.00164089100381507	0.000131997954031713	0.00150889304978336	NA
13.2591665411162	0.00168191327891045	0.000131997954031713	0.00154991532487874	NA
13.2376312331297	0.00172293555400583	0.000131997954031713	0.00159093759997411	NA
13.2087556100043	0.00180498010419658	0.000131997954031713	0.00167298215016487	NA
13.1724978289386	0.00184600237929196	0.000131997954031713	0.00171400442526024	NA
13.1598918294601	0.00188702465438733	0.000131997954031713	0.00175502670035562	NA
13.128851432005	0.00192804692948271	0.000131997954031713	0.001796048975451	NA
13.0951563337538	0.00196906920457809	0.000131997954031713	0.00183707125054637	NA
13.0888031425143	0.00201009147967346	0.000131997954031713	0.00187809352564175	NA
13.0754407083063	0.00205111375476884	0.000131997954031713	0.00191911580073713	NA
13.0721527066055	0.00209213602986422	0.000131997954031713	0.0019601380758325	NA
13.0616665199784	0.00213315830495959	0.000131997954031713	0.00200116035092788	NA
13.0602230608812	0.00217418058005497	0.000131997954031713	0.00204218262602326	NA
13.0300342667201	0.00225622513024572	0.000131997954031713	0.00212422717621401	NA
13.0285605193163	0.0022972474053411	0.000131997954031713	0.00216524945130939	NA
12.988168078224	0.00237929195553185	0.000131997954031713	0.00224729400150014	NA
12.9794930768592	0.00242031423062723	0.000131997954031713	0.00228831627659552	NA
12.9553284253098	0.00246133650572261	0.000131997954031713	0.00232933855169089	NA
12.9480167367761	0.00250235878081798	0.000131997954031713	0.00237036082678627	NA
12.9430147434841	0.00254338105591336	0.000131997954031713	0.00241138310188165	NA
12.9280656432209	0.00258440333100874	0.000131997954031713	0.00245240537697703	NA
12.9182259559121	0.00262542560610411	0.000131997954031713	0.0024934276520724	NA
12.8949484637396	0.00266644788119949	0.000131997954031713	0.00253444992716778	NA
12.8876471148395	0.00270747015629487	0.000131997954031713	0.00257547220226316	NA
12.8494070558178	0.00274849243139025	0.000131997954031713	0.00261649447735853	NA
12.844890110075	0.00278951470648562	0.000131997954031713	0.00265751675245391	NA
12.8442192925576	0.00287155925667638	0.000131997954031713	0.00273956130264466	NA
12.8288842222221	0.00291258153177175	0.000131997954031713	0.00278058357774004	NA
12.8168036750133	0.00295360380686713	0.000131997954031713	0.00282160585283542	NA
12.8153008779629	0.00303564835705788	0.000131997954031713	0.00290365040302617	NA
12.8025527147623	0.00315871518234401	0.000131997954031713	0.0030267172283123	NA
12.7975399453061	0.00319973745743939	0.000131997954031713	0.00306773950340768	NA
12.7938629984543	0.00324075973253477	0.000131997954031713	0.00310876177850305	NA
12.7879861973752	0.00328178200763014	0.000131997954031713	0.00314978405359843	NA
12.7285625491287	0.00332280428272552	0.000131997954031713	0.00319080632869381	NA
12.7124904597272	0.0033638265578209	0.000131997954031713	0.00323182860378918	NA
12.6913989408169	0.00340484883291627	0.000131997954031713	0.00327285087888456	NA
12.6492292277941	0.00344587110801165	0.000131997954031713	0.00331387315397994	NA
12.6397075653631	0.0035279156582024	0.000131997954031713	0.00339591770417069	NA
12.6330201806254	0.00356893793329778	0.000131997954031713	0.00343693997926607	NA
12.6308836657535	0.00360996020839316	0.000131997954031713	0.00347796225436144	NA
