csRNA/input log2 ratio	TSS CDF	Exon CDF	Difference	HGpvalue
9.46172499150271	4.2647560559536e-05	0	4.2647560559536e-05	NA
9.28276411545867	8.5295121119072e-05	0	8.5295121119072e-05	NA
9.11569395219701	0.000127942681678608	0	0.000127942681678608	NA
8.62760683812965	0.000170590242238144	0.000950871632329636	-0.000780281390091492	NA
8.48884434645734	0.00021323780279768	0.000950871632329636	-0.000737633829531956	NA
8.45651869842795	0.000255885363357216	0.000950871632329636	-0.00069498626897242	NA
8.43601449448299	0.000298532923916752	0.000950871632329636	-0.000652338708412884	NA
8.43578736555834	0.000341180484476288	0.000950871632329636	-0.000609691147853347	NA
8.26237677776352	0.000383828045035824	0.000950871632329636	-0.000567043587293812	NA
8.25823623733097	0.000469123166154896	0.000950871632329636	-0.00048174846617474	NA
8.24145887127465	0.000511770726714432	0.000950871632329636	-0.000439100905615204	NA
8.22023320438219	0.000597065847833504	0.000950871632329636	-0.000353805784496132	NA
8.17237750101828	0.00063971340839304	0.000950871632329636	-0.000311158223936596	NA
8.15456498245423	0.000725008529512112	0.000950871632329636	-0.000225863102817524	NA
8.15118940021235	0.000767656090071648	0.000950871632329636	-0.000183215542257988	NA
8.0042794306143	0.000810303650631184	0.000950871632329636	-0.000140567981698452	NA
7.99361775772739	0.00102354145342886	0.000950871632329636	7.26698210992284e-05	NA
7.97391927929381	0.0010661890139884	0.000950871632329636	0.000115317381658764	NA
7.96837880137054	0.00110883657454794	0.000950871632329636	0.0001579649422183	NA
7.95533224213178	0.00115148413510747	0.000950871632329636	0.000200612502777836	NA
7.94269043303178	0.00127942681678608	0.000950871632329636	0.000328555184456444	NA
7.93227381708644	0.00132207437734562	0.000950871632329636	0.00037120274501598	NA
7.89524202299072	0.00136472193790515	0.000950871632329636	0.000413850305575516	NA
7.84617987058542	0.00157795974070283	0.000950871632329636	0.000627088108373196	NA
7.84058911799692	0.00174854998294098	0.000950871632329636	0.00079767835061134	NA
7.83503979899476	0.00183384510406005	0.000950871632329636	0.000882973471730412	NA
7.77779593022708	0.00208973046741726	0.000950871632329636	0.00113885883508763	NA
7.77221558630345	0.0021323780279768	0.000950871632329636	0.00118150639564716	NA
7.75165247024748	0.00217502558853634	0.000950871632329636	0.0012241539562067	NA
7.74132809767758	0.00221767314909587	0.000950871632329636	0.00126680151676624	NA
7.73195384810583	0.00226032070965541	0.000950871632329636	0.00130944907732577	NA
7.70037035613522	0.00230296827021494	0.000950871632329636	0.00135209663788531	NA
7.67245078072029	0.00234561583077448	0.000950871632329636	0.00139474419844484	NA
7.66938115767061	0.00255885363357216	0.000950871632329636	0.00160798200124252	NA
7.63900711287469	0.00268679631525077	0.000950871632329636	0.00173592468292113	NA
7.60996763497142	0.0027294438758103	0.00110935023771791	0.0016200936380924	NA
7.59872249967662	0.00277209143636984	0.00110935023771791	0.00166274119865193	NA
7.57878779567697	0.00281473899692938	0.00110935023771791	0.00170538875921147	NA
7.56544485625942	0.00290003411804845	0.00110935023771791	0.00179068388033054	NA
7.55190047999961	0.00294268167860798	0.00110935023771791	0.00183333144089008	NA
7.54912361953854	0.00298532923916752	0.00110935023771791	0.00187597900144961	NA
7.54504168346746	0.00302797679972706	0.00110935023771791	0.00191862656200915	NA
7.538227739736	0.00307062436028659	0.00110935023771791	0.00196127412256868	NA
7.53130347489285	0.00315591948140566	0.00110935023771791	0.00204656924368776	NA
7.52380254302756	0.0031985670419652	0.00110935023771791	0.00208921680424729	NA
7.51743318407169	0.00324121460252474	0.00110935023771791	0.00213186436480683	NA
7.49550997395884	0.00332650972364381	0.00126782884310618	0.00205868088053763	NA
7.4908830575695	0.00345445240532242	0.00126782884310618	0.00218662356221623	NA
7.48220292629596	0.00349709996588195	0.00126782884310618	0.00222927112277577	NA
7.47720393690211	0.00353974752644149	0.00126782884310618	0.00227191868333531	NA
7.47508488294878	0.00358239508700102	0.00126782884310618	0.00231456624389484	NA
7.46785005394612	0.00371033776867963	0.00142630744849445	0.00228403032018518	NA
7.46076416279916	0.00375298532923917	0.00142630744849445	0.00232667788074471	NA
7.44755987282961	0.00383828045035824	0.00142630744849445	0.00241197300186379	NA
7.43870869772992	0.00400887069259638	0.00142630744849445	0.00258256324410193	NA
7.43137223790976	0.00405151825315592	0.00158478605388273	0.00246673219927319	NA
7.4239142676731	0.00413681337427499	0.00158478605388273	0.00255202732039227	NA
7.41650199286742	0.00417946093483453	0.00158478605388273	0.0025946748809518	NA
7.41519565164773	0.00422210849539406	0.00158478605388273	0.00263732244151134	NA
7.38629363515099	0.0042647560559536	0.00158478605388273	0.00267997000207087	NA
7.38393211340715	0.00435005117707267	0.00158478605388273	0.00276526512318995	NA
7.37094889882513	0.00443534629819174	0.00158478605388273	0.00285056024430902	NA
7.36938119639935	0.00447799385875128	0.00158478605388273	0.00289320780486855	NA
7.34766565630097	0.00460593654042989	0.00158478605388273	0.00302115048654716	NA
7.33264892328368	0.00464858410098942	0.00158478605388273	0.0030637980471067	NA
7.3319022338047	0.00469123166154896	0.00158478605388273	0.00310644560766623	NA
7.3256686996721	0.00477652678266803	0.00158478605388273	0.00319174072878531	NA
7.32216588216492	0.00481917434322757	0.00158478605388273	0.00323438828934484	NA
7.29984907373704	0.00498976458546571	0.00158478605388273	0.00340497853158299	NA
7.29385310000556	0.00520300238826339	0.00158478605388273	0.00361821633438067	NA
7.28967198317881	0.00524564994882293	0.00158478605388273	0.0036608638949402	NA
7.28366222134309	0.00528829750938246	0.00158478605388273	0.00370351145549974	NA
